ZipCode,YouthRatio,SeniorRatio
10001,8.7,14.8
10002,13.3,21.1
10003,7.1,11.8
10004,11.4,7.5
10005,12.5,1.3
10006,13,0.5
10007,20.1,6.2
10009,11.2,15.3
10010,11.6,14
10011,9.3,16.2
10012,8.4,14.2
10013,16.8,15.5
10014,8.9,14.9
10016,7.3,14.5
10017,7.4,21.3
10018,6.3,7.3
10019,7.1,15.5
10021,16.1,22.2
10022,8.9,28.5
10023,13.6,22.5
10024,17.1,19.5
10025,14.1,20
10026,19.3,10.4
10027,17.4,10.2
10028,13.4,18.6
10029,20.1,13.4
10030,17.6,11.1
10031,16.8,10.9
10032,14.6,12.9
10033,18.1,14
10034,19.7,13.5
10035,18.2,12.6
10036,7.9,11.3
10037,24.1,14.5
10038,11.5,17
10039,24.9,9.4
10040,17.4,16.5
10044,12.4,19.2
10065,13.5,21.5
10069,22.5,6.8
10075,16.2,27
10128,14.4,18.6
10280,20.7,9.1
10282,31.1,5.9
10301,22,14.9
10302,23.2,10.3
10303,27.3,9.4
10304,23.8,14.2
10305,21,14.9
10306,18.8,17.8
10307,23.9,11.4
10308,20,17.8
10309,22.4,15.5
10310,24.7,13.4
10312,22.1,17.2
10314,21.4,17.2
10451,25.7,12.6
10452,25.5,8.1
10453,28.1,8.4
10454,29.8,8.4
10455,28.8,9.2
10456,28.6,9
10457,30.7,9.1
10458,27.1,7.8
10459,27.2,10.1
10460,26.7,11.1
10461,20.5,15.6
10462,21.9,12
10463,21,19.8
10464,17.4,22.5
10465,19.7,17.4
10466,22.5,12.5
10467,25.6,11
10468,27,9.9
10469,21,16.5
10470,18.8,16.9
10471,15.9,25.5
10472,27.1,11.1
10473,24.2,14.7
10474,29.1,7.5
10475,17.3,24.5
11004,17,19.6
11101,18.1,8.3
11102,15.2,11.8
11103,12.2,11.3
11104,15.7,12.9
11105,14,12.9
11106,14.7,13.6
11109,14.6,1.7
11201,16.7,11.5
11203,21,18
11204,28.2,13.6
11205,26.9,7.5
11206,28.2,10.3
11207,23.8,11.4
11208,27.2,9.1
11209,18.5,16.9
11210,26.8,13.3
11211,25.2,8.6
11212,22,13.4
11213,23.8,11.5
11214,21.1,16.5
11215,21.2,10.4
11216,15.1,11.6
11217,18.3,10.4
11218,28.1,11.8
11219,36.2,11.8
11220,23.8,11
11221,20.3,10.3
11222,22.2,13.3
11223,24.7,15.8
11224,20,25.8
11225,18.5,12.6
11226,22.6,11.9
11228,20.6,17.4
11229,21.3,17.9
11230,28,15.4
11231,22.8,10.6
11232,21.4,8
11233,25,11
11234,22.7,16.8
11235,18.2,23.5
11236,22.4,13.6
11237,20.9,6.7
11238,15.6,12.2
11239,20,29
11354,15.5,20.3
11355,16.7,17.6
11356,22.8,13
11357,19.6,21.7
11358,17.5,19.2
11360,17.1,27
11361,17.3,19.3
11362,16.3,25.8
11363,18.9,21.6
11364,19.7,18.2
11365,20.4,14.8
11366,20.6,17.1
11367,23.9,16
11368,27.1,8.6
11369,21.4,15.4
11370,15.8,12.5
11372,18.1,15.6
11373,19.8,13.6
11374,14.9,21.1
11375,18.6,20.1
11377,17.1,15.2
11378,23.4,12.6
11379,19.7,17.6
11385,22.2,10.4
11411,18,19.2
11412,20.6,14.7
11413,21.7,16.3
11414,20,22
11415,19.9,15.9
11416,23.9,10.2
11417,22.2,12.5
11418,23.5,11.3
11419,20.2,11.5
11420,19.8,11.7
11421,21.7,12.6
11422,20,13
11423,18.8,15.2
11426,21.3,15.4
11427,20.6,16.2
11428,20,15.2
11429,19.5,14.5
11432,20.8,14
11433,24.1,12.2
11434,23.2,15.2
11435,21,11.9
11436,22.4,10.5
11691,30.7,12.4
11692,28.2,12.2
11693,21.9,12.3
11694,19.6,20.5
11697,21.8,25.4
